1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,y
1,-3.3247,5.6686,-7.1724,7.7892,-8.1376,8.796,-9.5694,10.2658,-10.5667,10.0922,-9.0583,7.8678,-6.7913,5.9471,-5.0125,3.778,-2.3718,1.0754,-0.32847,0.072131,one
1,-2.3862,3.8156,-4.7798,4.8172,-4.5354,4.1207,-3.5083,3.2972,-3.3541,3.4655,-3.3364,2.8528,-2.1992,1.7213,-1.3517,0.97345,-0.62337,0.30318,-0.067455,-0.0016173,one
1,-2.2151,1.682,-0.94326,1.5236,-2.0568,1.9083,-1.6513,1.5877,-1.8154,1.8036,-1.1955,0.80767,-0.87358,0.68068,-0.46078,0.5919,-0.52027,0.16583,-0.029692,0.038336,one
1,-3.7883,6.7985,-8.4387,8.6578,-7.7141,6.6222,-6.2351,6.1338,-6.0717,5.735,-4.6531,3.4942,-2.8336,2.4127,-2.1326,1.9337,-1.6928,1.357,-0.78196,0.20505,one
1,-3.1916,4.3549,-3.9937,3.936,-4.6197,5.0154,-3.9276,2.2431,-1.969,2.0956,-1.3022,0.61857,-0.64227,1.0381,-1.0147,0.44662,-0.36681,0.52847,-0.2339,-0.0077702,one
1,-3.2667,5.3058,-6.707,8.0228,-9.0046,9.3296,-8.7466,7.6432,-6.6678,5.4027,-3.9358,2.9555,-2.3611,2.0522,-1.7919,1.3911,-1.1885,0.95178,-0.409,0.04268,one
1,-3.5119,6.4227,-9.2219,11.7502,-13.469,14.3518,-14.0265,12.5109,-10.7493,8.9929,-7.2529,5.5784,-3.8984,2.6454,-1.7561,0.99756,-0.60228,0.31522,0.0070215,-0.065505,one
1,-3.5838,6.2243,-7.717,8.1015,-7.4203,6.3697,-5.6238,5.0939,-4.807,4.5687,-4.0772,3.4487,-2.7381,2.0268,-1.3399,0.79297,-0.77542,0.91754,-0.56979,0.11832,one
1,-2.871,3.9148,-4.1456,4.3909,-4.7498,4.9617,-4.9979,5.2975,-5.4955,5.242,-4.818,4.291,-3.6644,3.024,-2.4024,1.8296,-1.2903,0.81933,-0.43299,0.12704,one
1,-2.9821,4.1338,-4.0055,3.5483,-3.7172,4.4024,-4.7452,4.8426,-4.8089,4.4506,-3.8675,3.2882,-2.8265,2.3114,-1.7168,1.3329,-1.084,0.74812,-0.40265,0.12702,one
1,-2.4477,2.1186,-0.95921,0.38784,-0.6302,1.9507,-2.3775,1.6435,-1.2102,0.73689,-1.0028,1.8226,-1.5931,1.009,-0.65812,0.58381,-0.86292,0.69901,-0.18255,-0.0086948,one
1,-2.7666,2.7589,-1.1636,0.22468,-0.91761,2.8555,-3.6674,2.7165,-1.6527,1.1051,-1.7234,2.6834,-2.2458,1.1672,-0.65441,1.0171,-1.5667,1.1761,-0.36477,0.030405,one
1,-2.5393,2.6003,-1.8645,1.0968,-0.66006,1.6435,-2.6683,3.0496,-2.9815,1.8417,-0.97478,0.91969,-1.0038,1.4024,-1.4993,1.1821,-0.77825,0.15476,0.17648,-0.076447,one
1,-2.1792,1.4749,-0.69293,0.75218,-0.97505,1.8517,-1.9356,1.6078,-1.6972,1.1585,-1.2721,1.7656,-1.4316,1.0495,-0.50301,0.46187,-1.0672,0.97265,-0.44426,0.12361,one
