1,2,3,4,y
1,-2.2886,1.859,-0.54513,one
1,-1.3992,1.3723,-0.82658,one
1,-1.9955,1.2067,-0.17838,one
1,-2.7093,2.5553,-0.83595,one
1,-2.6631,2.4811,-0.8052,one
1,-2.4625,2.185,-0.69034,one
1,-2.3131,1.864,-0.51644,one
1,-2.5375,2.2788,-0.71699,one
1,-2.3227,1.7876,-0.43373,one
1,-2.372,1.8883,-0.48931,one
1,-2.3536,1.8207,-0.44358,one
1,-2.5322,2.1617,-0.61445,one
1,-2.2706,1.6585,-0.35944,one
1,-2.145,1.3758,-0.20443,one
1,-2.3056,1.7051,-0.37779,one
1,-2.1284,1.466,-0.2958,one
1,-2.1242,1.5044,-0.3272,one
1,-2.1124,1.6424,-0.4622,one
1,-2.1103,1.6705,-0.51182,one
1,-1.759,0.77847,0.049386,one
1,-1.6659,0.79212,-0.040169,one
1,-1.4403,0.1314,0.3488,one
1,-1.5685,1.1795,-0.56423,one
1,-2.0748,1.2986,-0.19628,one
1,-2.3885,1.8964,-0.4969,one
1,-2.3137,1.8537,-0.49008,one
1,-1.8256,1.1629,-0.2268,one
1,-1.9444,1.4238,-0.37553,one
1,-2.4983,2.3582,-0.82578,one
1,-1.9019,1.0521,-0.10848,one
1,-1.9126,1.3363,-0.37746,one
1,-1.2875,-0.10687,0.45319,one
1,-1.3071,0.057491,0.33608,one
1,-1.4248,0.45518,0.054244,one
1,-1.6706,0.90435,-0.17853,one
1,-2.1114,1.6629,-0.50841,one
1,-1.834,1.5484,-0.67551,one
1,-1.6992,0.78665,0.026884,one
1,-2.0058,1.4075,-0.33257,one
1,-2.0734,1.5877,-0.47034,one
1,-2.7805,2.6677,-0.87897,one
1,-1.8181,1.348,-0.44784,one
1,-1.6087,0.83911,-0.16562,one
1,-1.556,0.82305,-0.20638,one
1,-1.4875,0.62282,-0.12788,one
1,-1.59,1.1626,-0.55851,one
1,-2.6433,2.3586,-0.70852,one
1,-2.7139,2.5038,-0.7831,one
1,-2.7168,2.512,-0.79069,one
1,-1.6221,0.80325,-0.12894,one
1,-1.8334,1.3973,-0.49512,one
1,-2.1424,1.4906,-0.30821,one
1,-2.2726,1.9054,-0.59255,one
1,-1.8353,1.1245,-0.18872,one
1,-2.6069,2.3553,-0.72872,one
1,-2.703,2.5076,-0.79666,one
1,-2.1135,1.4116,-0.26043,one
1,-2.3357,1.8539,-0.48405,one
1,-2.0876,1.3793,-0.24732,one
1,-1.6719,1.004,-0.24469,one
1,-1.8671,1.1155,-0.1663,one
1,-1.865,1.1197,-0.17082,one
1,-2.4548,2.1675,-0.68692,one
1,-1.9867,1.15,-0.14698,one
1,-2.0399,1.2549,-0.20176,one
1,-2.0024,1.4989,-0.37239,one
1,-2.1135,1.5309,-0.34905,one
1,-1.8774,1.569,-0.64844,one
1,-2.1388,1.4905,-0.30584,one
1,-1.7094,0.55447,0.1757,one
1,-2.1535,1.5141,-0.3283,one
1,-2.2326,1.7203,-0.45966,one
1,-2.0757,1.3907,-0.28184,one
1,-2.4002,1.9866,-0.56685,one
1,-1.5804,0.75206,-0.042553,one
1,-1.3268,0.5869,-0.13191,one
1,-1.741,0.96316,-0.1195,one
1,-1.4744,0.64007,-0.063928,one
1,-1.6919,0.8954,-0.095674,one
1,-1.4315,0.5165,0.027167,one
1,-1.8484,1.7747,-0.88632,one
1,-1.8797,0.92743,0.0066023,one
1,-2.1402,1.587,-0.41752,one
1,-1.892,1.4948,-0.49626,one
1,-1.3931,1.1124,-0.5238,one
1,-2.0953,1.4268,-0.30212,one
1,-2.4604,2.1081,-0.61681,one
1,-1.8863,1.0945,-0.14691,one
1,-1.3316,-0.18504,0.59068,one
1,-1.2667,-0.33195,0.66473,one
1,-1.542,0.75448,-0.19484,one
1,-2.084,1.5531,-0.37283,one
1,-2.1561,1.5994,-0.41239,one
1,-2.7192,2.5563,-0.82913,one
1,-2.1799,1.7669,-0.52096,one
1,-0.67057,-0.17074,0.015534,one
1,-2.5289,2.1992,-0.65625,one
1,-1.8719,1.4158,-0.50751,one
1,-1.8037,1.5769,-0.68939,one
1,-1.7606,0.76603,0.026243,one
1,-1.7825,0.83968,-0.032699,one
1,-1.7748,0.88298,-0.063553,one
1,-1.5065,0.49037,0.1034,one
1,-1.8688,1.0831,-0.1633,one
1,-2.1715,1.583,-0.3816,one
1,-2.1646,1.6102,-0.39783,one
1,-2.4486,2.1384,-0.65054,one
1,-2.5456,2.2714,-0.7046,one
1,-2.2855,1.8349,-0.49766,one
1,-2.5215,2.2058,-0.6572,one
1,-2.5152,2.1689,-0.64089,one
1,-2.0045,1.5237,-0.45967,one
1,-2.2469,1.6253,-0.36294,one
1,-2.3309,1.8146,-0.46306,one
1,-2.3798,1.9009,-0.49949,one
1,-2.3671,1.8466,-0.45923,one
1,-2.1197,1.394,-0.24511,one
1,-1.0068,-0.34512,0.43797,one
1,-2.5546,2.2075,-0.64438,one
1,-2.5263,2.172,-0.63625,one
1,-2.4815,2.0755,-0.58543,one
1,-2.5235,2.1851,-0.65433,one
1,-2.2727,1.6527,-0.3717,one
1,-2.1283,1.4702,-0.33263,one
1,-2.1028,1.4598,-0.3354,one
1,-2.5628,2.3747,-0.79758,one
1,-2.5919,2.3839,-0.77731,one
1,-2.3099,1.8736,-0.52785,one
1,-2.3483,2.0783,-0.68892,one
1,-2.3363,2.0538,-0.67387,one
1,-1.958,1.6223,-0.59726,one
1,-1.8935,1.4444,-0.46316,one
1,-2.2873,1.7386,-0.42158,one
1,-1.9813,1.5322,-0.50781,one
1,-2.1637,1.6366,-0.44404,one
1,-2.1122,1.6271,-0.48422,one
1,-2.2095,1.5926,-0.35296,one
1,-0.57234,0.078357,-0.39636,one
1,-2.1113,1.621,-0.47903,one
1,-2.4396,2.0133,-0.55741,one
1,-2.0494,1.324,-0.23769,one
1,-1.7593,0.79031,0.015969,one
1,-1.914,1.5958,-0.63388,one
1,-1.9841,1.0989,-0.081607,one
1,-1.9358,1.0605,-0.089992,one
1,-2.2228,1.8323,-0.55816,one
1,-2.6482,2.4639,-0.80845,one
1,-1.5051,0.95849,-0.34177,one
1,-1.8674,1.342,-0.41059,one
1,-1.8376,1.1421,-0.23785,one
1,-2.3081,1.8401,-0.50417,one
1,-1.612,0.4986,0.17451,one
1,-2.2279,1.7162,-0.46869,one
1,-2.2588,1.8227,-0.54083,one
1,-1.8104,1.338,-0.50981,one
1,-1.9433,1.4584,-0.49632,one
1,-2.2076,1.7414,-0.48495,one
1,-1.7461,0.86637,-0.075537,one
1,-1.6538,0.7176,-0.0035441,one
1,-1.1467,0.20125,0.063095,one
1,-2.2905,2.0315,-0.723,one
1,-2.425,2.0285,-0.58954,one
1,-1.9471,1.3146,-0.33549,one
1,-1.8991,1.2681,-0.33375,one
1,-1.8313,1.2611,-0.39749,one
1,-1.9565,1.4133,-0.42938,one
1,-1.969,1.3199,-0.31068,one
1,-1.7153,1.17,-0.36864,one
1,-1.8175,1.4263,-0.53127,one
1,-2.0497,1.5817,-0.47248,one
1,-1.1247,0.2583,0.15539,one
1,-2.6701,2.5457,-0.86209,one
1,-2.1265,1.5274,-0.3747,one
1,-1.7163,0.67689,0.055244,one
1,-1.6988,0.76736,-0.046242,one
1,-2.1765,1.687,-0.44009,one
1,-1.3722,0.064777,0.36818,one
1,-2.021,1.3487,-0.29169,one
1,-1.6874,0.78367,-0.040701,one
1,-2.0906,1.58,-0.43809,one
1,-2.321,1.9153,-0.56453,one
1,-1.8043,1.6647,-0.79467,one
1,-1.9217,1.6947,-0.71462,one
1,-2.0417,1.3592,-0.29567,one
1,-2.1152,1.5255,-0.38979,one
1,-2.4939,2.1477,-0.6448,one
1,-2.3573,1.9514,-0.5806,one
1,-2.4013,1.9459,-0.53568,one
1,-2.0588,1.8075,-0.71259,one
1,-2.1635,1.9183,-0.73144,one
1,-2.5638,2.3236,-0.73435,one
1,-2.6492,2.5022,-0.83668,one
1,-1.5791,0.70133,-0.062464,one
1,-2.2773,1.8017,-0.48913,one
1,-2.1326,1.6493,-0.4844,one
1,-1.9175,1.0727,-0.11099,one
1,-1.8632,1.3996,-0.46462,one
1,-2.1691,1.6922,-0.48641,one
1,-1.1127,0.10621,0.19617,one
1,-1.5932,1.0057,-0.21568,one
1,-2.1694,1.5747,-0.36173,one
