1,2,3,4,5,6,y
1,-2.8974,3.8593,-3.1994,1.6201,-0.35526,one
1,-1.893,2.3206,-1.8861,0.82034,-0.18396,one
1,-1.9106,0.9205,-0.050674,0.32317,-0.26288,one
1,-3.3872,4.8995,-3.9498,1.8661,-0.4196,one
1,-3.1102,3.9564,-2.6192,0.94858,-0.15985,one
1,-2.7861,3.3534,-2.3857,1.1589,-0.3112,one
1,-2.7403,3.394,-2.8251,1.7051,-0.50982,one
1,-3.1063,4.3746,-3.853,2.2384,-0.6412,one
1,-2.5442,2.6734,-1.6394,0.63018,-0.078913,one
1,-2.7254,3.2182,-2.2059,0.83131,-0.077724,one
1,-2.4037,2.0256,-0.70579,0.10776,0.0023638,one
1,-2.4941,1.96,-0.23059,-0.31829,0.098278,one
1,-2.3301,1.9445,-0.89122,0.44538,-0.14116,one
1,-2.0771,1.052,0.1344,0.021203,-0.11217,one
1,-2.2623,1.5551,-0.27815,0.081172,-0.077719,one
1,-2.2426,1.9612,-1.2852,0.95715,-0.35907,one
1,-2.5478,2.9704,-2.6125,1.8204,-0.59958,one
1,-3.1235,4.6806,-4.499,2.7417,-0.77162,one
1,-2.9408,4.1751,-3.8653,2.2927,-0.63081,one
1,-1.7711,0.8686,-0.26496,0.41251,-0.18379,one
1,-1.5497,0.98416,-0.63954,0.11861,0.2531,one
1,-1.4241,0.25178,-0.27835,0.79714,-0.3079,one
1,-1.9931,2.0585,-1.7648,0.71022,0.084872,one
1,-2.2844,2.1142,-1.6389,1.2678,-0.43808,one
1,-3.1969,4.6488,-4.2473,2.4172,-0.61449,one
1,-3.2839,5.0346,-4.863,2.9597,-0.83285,one
1,-1.9586,1.7681,-1.1776,0.57936,-0.05867,one
1,-2.1588,2.2249,-1.474,0.58403,-0.018761,one
1,-3.2876,4.9807,-4.3822,2.2993,-0.58839,one
1,-1.8691,1.3558,-0.69941,0.10395,0.18041,one
1,-2.4751,3.0213,-2.6869,1.5372,-0.34241,one
1,-1.2295,-0.14044,0.26796,0.2325,-0.067406,one
1,-1.2597,0.072789,0.17748,0.064261,0.04694,one
1,-1.4225,0.57794,-0.31477,0.30442,-0.044755,one
1,-1.6869,1.0604,-0.46261,0.053151,0.11238,one
1,-2.5169,2.9779,-2.3747,1.3163,-0.36218,one
1,-2.9616,4.3145,-4.089,2.4031,-0.64112,one
1,-1.6798,0.64736,0.10451,0.19633,-0.18675,one
1,-2.2595,2.3116,-1.7347,1.0619,-0.31311,one
1,-2.7997,3.8103,-3.6,2.3531,-0.7458,one
1,-3.0989,3.6911,-2.066,0.55584,-0.071864,one
1,-1.9341,1.696,-0.91275,0.24567,0.010052,one
1,-1.6721,1.1017,-0.66452,0.39156,-0.081777,one
1,-1.6258,1.0645,-0.65962,0.40153,-0.1152,one
1,-1.4921,0.66146,-0.27603,0.31458,-0.2019,one
1,-1.6606,1.3247,-0.78873,0.17032,-0.030461,one
1,-2.6079,2.2689,-0.66847,0.051679,-0.037977,one
1,-2.8594,2.9495,-1.2215,0.11142,0.028412,one
1,-2.9685,3.3561,-1.8073,0.49293,-0.067731,one
1,-1.5511,0.83805,-0.29126,-0.24802,0.34568,one
1,-2.0897,2.1206,-1.4451,0.52201,-0.004129,one
1,-2.2436,2.0074,-1.6763,1.6292,-0.70361,one
1,-2.7937,3.5912,-2.8123,1.3495,-0.28919,one
1,-1.8341,1.0252,0.14183,-0.39845,0.17362,one
1,-2.8988,3.6027,-2.8531,1.6827,-0.52191,one
1,-2.9611,3.6148,-2.6461,1.4177,-0.41973,one
1,-2.1367,1.6608,-1.3066,1.4823,-0.68771,one
1,-2.5685,2.7491,-1.8431,0.95213,-0.25632,one
1,-2.1725,1.8078,-0.92937,0.41151,-0.06452,one
1,-1.7041,1.3281,-0.84851,0.19867,0.18405,one
1,-1.9215,1.5791,-0.94623,0.36631,0.047985,one
1,-2.0339,1.8838,-1.4115,0.81947,-0.14863,one
1,-2.9328,3.7478,-2.7179,1.1589,-0.22569,one
1,-2.1133,1.6365,-1.2705,1.3278,-0.57234,one
1,-1.9812,1.1867,-0.7116,1.0843,-0.57305,one
1,-2.0448,1.6655,-0.5681,0.059842,0.03139,one
1,-2.2231,1.9984,-1.0255,0.37989,-0.046556,one
1,-2.0544,1.8833,-0.88811,-0.20185,0.35479,one
1,-2.3724,2.4441,-1.7304,0.89976,-0.18604,one
1,-1.7167,0.52749,0.24564,-0.026615,-0.010163,one
1,-2.2822,2.071,-1.4673,1.1399,-0.44031,one
1,-2.4642,2.582,-1.7825,0.96384,-0.27228,one
1,-2.3182,2.2929,-1.7762,1.2321,-0.40376,one
1,-2.6959,3.0895,-2.2294,1.1829,-0.32978,one
1,-1.7925,1.4419,-1.2577,1.1134,-0.38681,one
1,-1.783,1.562,-1.6113,1.4299,-0.48167,one
1,-2.1722,2.2503,-2.0972,1.6667,-0.5773,one
1,-1.8332,1.5701,-1.5655,1.3839,-0.4635,one
1,-2.0939,2.0862,-1.9496,1.5842,-0.54772,one
1,-1.7342,1.2704,-1.2743,1.3517,-0.52892,one
1,-2.644,3.6799,-3.17,1.5681,-0.39482,one
1,-1.8727,0.97839,-0.024684,-0.11385,0.096479,one
1,-2.4114,2.6327,-1.8249,0.63288,0.020981,one
1,-2.5259,3.298,-2.9335,1.7592,-0.51341,one
1,-2.1081,2.6263,-2.4174,1.5387,-0.45536,one
1,-2.5038,2.861,-2.4249,1.5076,-0.41281,one
1,-2.9576,3.8828,-3.148,1.6941,-0.44609,one
1,-2.1582,2.0033,-1.7212,1.4753,-0.56205,one
1,-1.3322,-0.51784,0.70995,0.72315,-0.55026,one
1,-1.2638,-0.70566,0.76673,0.86497,-0.63575,one
1,-1.5499,0.8291,-0.36836,-0.042636,0.15634,one
1,-2.2577,2.2345,-1.3572,0.61097,-0.11494,one
1,-3.0457,4.3773,-4.1375,2.496,-0.67158,one
1,-2.6876,2.6219,-1.226,0.49205,-0.19416,one
1,-2.3851,2.5578,-1.85,1.1127,-0.38577,one
1,-0.67157,-0.27873,-0.43297,0.68732,-0.017012,one
1,-2.772,3.1307,-2.0619,0.9822,-0.26597,one
1,-2.2856,2.5582,-2.0227,0.91974,-0.11606,one
1,-2.0673,2.0715,-1.1179,-0.0023387,0.29807,one
1,-1.7643,1.0933,-0.70898,0.45838,-0.035681,one
1,-1.8397,1.2386,-0.83956,0.59004,-0.11977,one
1,-2.0306,1.6513,-1.4797,1.5393,-0.65967,one
1,-1.5508,0.65584,-0.39325,0.68,-0.32038,one
1,-1.8477,1.0263,-0.23716,0.28198,-0.18443,one
1,-2.4481,2.6261,-1.8748,0.90616,-0.1722,one
1,-2.9465,4.1238,-3.8289,2.3095,-0.62636,one
1,-3.301,5.0331,-4.6695,2.6745,-0.7192,one
1,-3.1668,4.5038,-3.9314,2.2084,-0.60149,one
1,-3.187,4.7807,-4.5965,2.8395,-0.82103,one
1,-3.1271,4.3404,-3.6223,1.9105,-0.47984,one
1,-2.6307,2.5984,-1.2389,0.36167,-0.076612,one
1,-2.4377,2.8759,-2.3588,1.3405,-0.362,one
1,-2.595,2.9159,-2.3968,1.5715,-0.48445,one
1,-2.5167,2.5393,-1.5163,0.65958,-0.14269,one
1,-2.8871,3.7101,-3.038,1.642,-0.40702,one
1,-2.7067,3.1284,-2.2801,1.1366,-0.25606,one
1,-2.3787,2.4406,-1.8723,1.1257,-0.28413,one
1,-0.8683,-0.51258,-0.01098,0.68294,-0.18262,one
1,-2.8862,3.4041,-2.2631,0.95497,-0.20031,one
1,-2.8291,3.3109,-2.3176,1.1456,-0.3011,one
1,-2.74,3.044,-1.9777,0.89791,-0.21537,one
1,-2.7637,2.9915,-1.6001,0.39432,-0.012362,one
1,-2.3467,1.9821,-0.88293,0.32193,-0.065302,one
1,-1.9615,1.1078,-0.41829,0.73567,-0.45968,one
1,-1.9937,1.2874,-0.6501,0.84006,-0.47384,one
1,-3.7819,6.3956,-6.1223,3.323,-0.80951,one
1,-3.698,6.1149,-5.7834,3.1449,-0.77266,one
1,-2.2855,1.8767,-0.72883,0.32369,-0.15685,one
1,-2.7139,3.2911,-2.3352,1.0562,-0.256,one
1,-2.6161,2.9975,-1.9698,0.83746,-0.20318,one
1,-2.2183,2.3249,-1.4359,0.41147,0.016431,one
1,-1.9728,1.6793,-0.66034,-0.12842,0.22562,one
1,-2.4736,2.4806,-1.5472,0.75968,-0.18793,one
1,-2.2072,2.2319,-1.3786,0.2931,0.14013,one
1,-2.2126,2.0594,-0.93812,-0.21649,0.3758,one
1,-2.2355,2.2075,-1.1998,-0.027602,0.32859,one
1,-2.4028,2.5289,-1.6439,0.51449,0.055871,one
1,-0.49868,0.13198,-0.33844,-0.022594,-0.19499,one
1,-2.2108,2.1657,-1.1676,-0.070417,0.35935,one
1,-2.4939,2.3081,-1.1786,0.58597,-0.2077,one
1,-2.0978,1.579,-0.94233,0.86727,-0.38165,one
1,-1.9058,1.2977,-1.0378,1.1597,-0.48178,one
1,-2.7012,3.6007,-3.0905,1.506,-0.24682,one
1,-2.258,2.1595,-1.8511,1.4299,-0.45283,one
1,-2.2457,2.3269,-2.1015,1.4014,-0.34192,one
1,-2.785,3.7114,-3.302,2.0279,-0.62382,one
1,-3.1571,4.0054,-2.4421,0.58873,0.017181,one
1,-1.9221,1.9768,-1.7932,1.1704,-0.30406,one
1,-2.1342,2.1875,-1.5927,0.70444,-0.072992,one
1,-1.9936,1.7776,-1.2527,0.65683,-0.10063,one
1,-2.4153,2.216,-0.87392,0.0019492,0.11059,one
1,-1.6779,0.88212,-0.75079,0.93327,-0.32805,one
1,-2.6711,3.2545,-2.7956,1.7774,-0.5525,one
1,-3.0559,4.4035,-4.1629,2.5873,-0.76307,one
1,-2.7444,3.692,-3.5316,2.2341,-0.63852,one
1,-2.7995,3.8159,-3.6118,2.2684,-0.6619,one
1,-2.8645,3.9012,-3.5911,2.2666,-0.68846,one
1,-1.7844,1.3328,-1.0194,0.53521,0.0052209,one
1,-1.6318,0.88081,-0.39275,0.14533,0.081899,one
1,-1.1336,0.21454,-0.0075006,-0.033026,0.099363,one
1,-3.1151,4.4441,-3.6834,1.6863,-0.3095,one
1,-2.5965,2.6307,-1.3522,0.37437,-0.039351,one
1,-2.0264,1.6577,-0.81467,0.13064,0.099707,one
1,-1.9605,1.5727,-0.7627,0.032014,0.17599,one
1,-1.9343,1.6152,-0.89811,0.11383,0.15667,one
1,-2.0668,1.7934,-0.90942,0.070461,0.15675,one
1,-2.0401,1.664,-0.79321,0.13216,0.095692,one
1,-1.9381,1.8366,-1.3645,0.75653,-0.19355,one
1,-2.0684,2.0988,-1.3851,0.4608,0.0098755,one
1,-2.4063,2.7332,-2.0279,0.94738,-0.16957,one
1,-1.0953,0.37281,-0.28504,0.44839,-0.075389,one
1,-3.1165,3.7077,-1.7358,-0.063105,0.23634,one
1,-2.2669,2.0871,-1.3467,0.8263,-0.27672,one
1,-1.7306,0.83422,-0.3637,0.4102,-0.13393,one
1,-1.7286,0.90936,-0.42382,0.46742,-0.20448,one
1,-2.3788,2.447,-1.4701,0.56622,-0.073241,one
1,-1.4249,-0.006035,0.073261,1.046,-0.6643,one
1,-2.0036,1.3386,-0.45297,0.32769,-0.18128,one
1,-2.1892,2.1574,-2.1214,1.8613,-0.67769,one
1,-2.6998,3.5166,-3.2609,2.1733,-0.70606,one
1,-2.8669,3.8179,-3.3984,2.1034,-0.64049,one
1,-2.1245,2.1264,-1.0831,-0.12355,0.35991,one
1,-2.428,2.8638,-1.9964,0.58598,0.089563,one
1,-2.1825,1.9402,-1.2055,0.58688,-0.11313,one
1,-2.2049,1.8834,-0.84735,0.13185,0.06485,one
1,-2.8877,3.5166,-2.465,1.0644,-0.21806,one
1,-2.7117,3.1512,-2.1251,0.82299,-0.11948,one
1,-2.3624,1.7767,-0.26646,-0.1834,0.044201,one
1,-3.1627,4.7689,-4.3737,2.3463,-0.54825,one
1,-2.6678,3.2121,-2.1376,0.56133,0.076563,one
1,-2.961,3.6497,-2.3892,0.88098,-0.14905,one
1,-3.2495,4.4278,-3.1692,1.2152,-0.20379,one
1,-1.5608,0.82044,-0.3546,0.047102,0.1331,one
1,-2.7383,3.4266,-2.5936,1.0905,-0.13184,one
1,-2.8374,3.8359,-3.3802,1.8374,-0.42259,one
1,-2.282,2.2098,-2.0746,1.9412,-0.78075,one
1,-2.4638,3.0761,-2.6821,1.4775,-0.32176,one
1,-2.6282,3.2061,-2.5373,1.2726,-0.27021,one
1,-1.2284,0.19497,-0.18101,0.93867,-0.63744,one
1,-1.7558,1.5329,-1.3241,1.313,-0.69534,one
1,-2.4641,2.6641,-2.1398,1.4484,-0.47787,one
1,-2.6871,2.5711,-0.99635,0.11055,0.017934,one
1,-2.5787,2.9659,-2.2892,1.3623,-0.43016,one
1,-2.7286,3.4869,-3.0602,1.9434,-0.61611,one
1,-2.643,3.0099,-2.4996,1.7494,-0.60064,one
1,-3.0617,3.9732,-2.9403,1.3888,-0.34461,one
1,-1.8316,1.2992,-0.65493,0.32629,-0.025379,one
1,-1.6331,0.78974,-0.39566,0.44009,-0.12055,one
1,-2.4219,2.7329,-2.1291,1.1214,-0.2389,one
1,-2.3338,2.3204,-1.5818,0.9404,-0.2893,one
1,-2.3321,2.1598,-1.365,0.91935,-0.3411,one
1,-2.5649,2.5175,-1.1631,0.30529,-0.071686,one
1,-3.1422,4.2026,-3.2975,1.6868,-0.44123,one
1,-1.9703,1.0614,-0.24745,0.46888,-0.3014,one
1,-2.0602,1.1883,-0.20514,0.31845,-0.23004,one
1,-2.5602,3.0407,-2.3867,1.1221,-0.18586,one
1,-2.0123,0.84719,0.50787,-0.19779,-0.13037,one
1,-2.474,2.7871,-2.3384,1.6384,-0.57419,one
1,-2.6027,3.0867,-2.5993,1.6406,-0.49261,one
1,-2.5774,2.9411,-2.3114,1.4621,-0.48237,one
1,-2.3985,2.5197,-1.8252,1.1445,-0.38923,one
1,-2.4919,2.8616,-2.3819,1.5574,-0.49601,one
1,-2.4528,2.2885,-1.2158,0.55164,-0.15023,one
1,-3.0814,4.158,-3.2432,1.5869,-0.39475,one
1,-2.7663,3.6338,-3.2555,1.9681,-0.56104,one
1,-2.5597,2.9335,-1.9834,0.69187,-0.03527,one
1,-3.0674,4.5496,-4.1546,2.2142,-0.50304,one
1,-1.8953,1.0558,-0.33458,0.54679,-0.33317,one
1,-2.3355,1.9639,-0.6439,0.083656,-0.027016,one
1,-2.0469,1.3518,-0.44216,0.46055,-0.28988,one
1,-2.5179,2.1511,-0.707,0.17414,-0.094946,one
1,-2.484,2.7995,-2.2559,1.435,-0.45605,one
1,-2.6723,3.3108,-2.7056,1.4474,-0.34116,one
1,-1.0656,-0.14917,0.031452,0.69672,-0.34982,one
1,-1.5259,0.64148,-0.50465,0.56021,-0.17034,one
1,-1.5746,0.70615,-0.405,0.34755,-0.044846,one
1,-1.2863,0.21899,-0.4308,0.75501,-0.19906,one
1,-1.5079,0.79628,-0.78443,0.54366,0.013853,one
1,-1.9844,1.3133,-0.5496,0.44602,-0.18703,one
1,-2.1397,1.778,-1.0248,0.66742,-0.23176,one
1,-2.5254,3.1813,-2.7493,1.6487,-0.47593,one
1,-1.6148,0.56202,-0.23706,0.79793,-0.4549,one
1,-1.3765,0.13473,-0.20614,1.0465,-0.54781,one
1,-1.8994,1.334,-0.74601,0.57146,-0.15943,one
1,-2.1358,2.0051,-1.7143,1.3752,-0.45787,one
1,-1.8077,1.381,-1.1707,0.9986,-0.29172,one
1,-2.1821,1.918,-0.81027,0.062957,0.11485,one
1,-2.2502,2.0261,-1.1422,0.51972,-0.098669,one
1,-2.3018,2.0439,-1.0568,0.4165,-0.060437,one
1,-2.3566,2.1339,-0.80722,-0.099604,0.18841,one
1,-2.3517,2.3367,-1.2034,0.067566,0.21836,one
1,-2.0687,1.4286,-0.39491,0.12627,-0.051083,one
1,-3.0205,4.4047,-4.221,2.641,-0.79377,one
1,-2.5768,2.8265,-2.0486,1.1255,-0.30599,one
1,-2.5768,2.8265,-2.0486,1.1255,-0.30599,one
1,-2.6914,2.6599,-0.87844,-0.21678,0.15345,one
1,-2.7714,2.9596,-1.2926,0.036934,0.099441,one
1,-2.3572,1.8801,-0.55279,0.096601,-0.064021,one
1,-1.4023,0.34804,-0.16689,0.40069,-0.14927,one
1,-2.7282,3.6075,-3.2245,1.8507,-0.45557,one
1,-2.4113,2.8068,-2.1488,1.0823,-0.244,one
1,-2.7241,3.4453,-2.829,1.5524,-0.4116,one
1,-3.1155,4.447,-3.9875,2.3278,-0.65035,one
1,-3.2239,4.7672,-4.3252,2.472,-0.66994,one
1,-2.9078,3.4692,-2.2543,0.93807,-0.22378,one
1,-2.2112,2.2634,-1.8501,1.347,-0.47181,one
1,-1.7195,0.93165,-0.57611,0.54023,-0.12285,one
1,-2.4438,2.5573,-2.0433,1.3998,-0.44247,one
1,-2.0162,1.767,-1.4381,1.2288,-0.44885,one
1,-1.1992,0.035954,0.013336,0.095059,0.10526,one
1,-2.7797,3.6368,-3.0685,1.7138,-0.48256,one
1,-2.5964,3.2389,-2.7165,1.5899,-0.48351,one
1,-1.9854,1.6594,-0.95908,0.52404,-0.16047,one
1,-2.6895,3.5546,-3.1568,1.9065,-0.58112,one
1,-2.8338,3.805,-3.324,1.9051,-0.53027,one
1,-1.9952,1.6841,-0.84033,0.032777,0.21519,one
1,-2.1672,2.0708,-1.1241,0.094289,0.22165,one
1,-2.3387,2.5981,-1.6935,0.35345,0.18531,one
1,-1.4014,0.80666,-0.60385,0.32361,0.059345,one
1,-2.8542,3.5927,-2.6287,1.1088,-0.17789,one
1,-2.0057,1.6637,-0.78111,-0.074074,0.28043,one
1,-1.8929,1.168,-0.16704,-0.21179,0.16014,one
1,-2.2215,1.4535,0.27247,-0.78122,0.32241,one
1,-2.7874,3.1773,-2.2047,1.1922,-0.37016,one
