1,2,3,4,5,6,7,8,y
1,-2.946,4.1262,-3.8875,2.6877,-1.4515,0.70659,-0.21204,one
1,-2.1322,3.0739,-3.4365,2.8231,-1.9232,1.06,-0.26442,one
1,-2.0319,1.1479,-0.16509,0.59037,-0.96921,0.6217,-0.17322,one
1,-3.7096,6.3149,-6.9117,5.5537,-3.0698,0.89976,-0.063328,one
1,-3.1477,4.1791,-3.2341,1.8773,-0.89023,0.23512,-0.00016151,one
1,-2.9105,3.8648,-3.4644,2.7893,-2.0975,1.1953,-0.35456,one
1,-2.9151,4.0839,-4.1383,3.4227,-2.1728,1.0208,-0.28024,one
1,-3.5159,5.8196,-6.3607,5.1094,-2.7297,0.7338,-0.03725,one
1,-2.6092,2.9357,-2.2472,1.6666,-1.355,0.94583,-0.30332,one
1,-2.6743,3.0011,-1.9415,0.78933,-0.41803,0.51758,-0.24851,one
1,-2.3435,1.8496,-0.41525,-0.32665,0.20729,0.26739,-0.22408,one
1,-2.4839,1.9177,-0.10478,-0.42086,-0.1652,0.49782,-0.22989,one
1,-2.2429,1.7374,-0.64369,0.057524,0.12628,0.17139,-0.18967,one
1,-2.0642,1.0566,0.13332,-0.047986,-0.23857,0.3764,-0.20144,one
1,-2.237,1.5312,-0.25889,0.085435,-0.50433,0.75402,-0.35959,one
1,-2.2908,2.1057,-1.4974,1.2616,-0.72938,0.23505,-0.051409,one
1,-2.8066,3.9735,-4.4104,4.0252,-2.7744,1.4667,-0.45295,one
1,-3.7857,7.3297,-9.5143,8.7392,-5.6005,2.3859,-0.53459,one
1,-3.055,4.6679,-4.8603,3.5581,-1.7268,0.59351,-0.1473,one
1,-1.8331,1.037,-0.43731,0.61241,-0.66916,0.59343,-0.25077,one
1,-1.5862,0.95331,-0.84438,0.63918,-0.49557,0.98674,-0.57411,one
1,-1.3399,-0.040971,-0.099859,0.68051,0.2537,-0.52488,0.096846,one
1,-1.9087,1.642,-1.435,0.80078,-0.26011,0.63833,-0.43632,one
1,-2.4221,2.7242,-2.7771,2.6519,-2.0974,1.5231,-0.5931,one
1,-3.1166,4.4263,-4.0502,2.4291,-0.86235,0.314,-0.13451,one
1,-4.2819,8.8745,-11.7887,10.8476,-6.7748,2.6057,-0.46887,one
1,-2.0576,2.0752,-1.8285,1.5746,-1.3208,1.1327,-0.48226,one
1,-2.2004,2.3702,-1.9611,1.519,-1.261,1.0892,-0.4643,one
1,-3.6615,6.4546,-7.2147,5.575,-2.8461,0.78035,-0.05481,one
1,-1.8721,1.3446,-0.78155,0.35343,-0.24321,0.48969,-0.23273,one
1,-2.3522,2.5989,-2.1428,1.1,-0.13585,0.12025,-0.15392,one
1,-1.2972,-0.0087095,0.22565,0.092118,-0.20915,0.62992,-0.38823,one
1,-1.3219,0.16288,0.19009,0.00892,-0.25908,0.63193,-0.32956,one
1,-1.5595,0.85322,-0.62649,0.64983,-0.72862,1.0108,-0.54265,one
1,-1.7681,1.1897,-0.69462,0.55394,-0.77884,1.0537,-0.51064,one
1,-2.5292,3.0375,-2.5106,1.5179,-0.57598,0.1457,-0.045714,one
1,-3.4374,6.2259,-7.7735,6.8785,-4.2924,1.8558,-0.43575,one
1,-1.8317,0.85805,0.10731,0.52618,-1.1568,0.70769,-0.097755,one
1,-2.3053,2.5017,-2.1161,1.6025,-0.93531,0.4816,-0.16883,one
1,-2.9815,4.4424,-4.6642,3.5684,-1.7353,0.47769,-0.087631,one
1,-3.1161,3.6781,-1.7408,-0.34734,1.0704,-0.71309,0.17895,one
1,-1.9326,1.6873,-1.0247,0.67583,-0.79564,0.92329,-0.47908,one
1,-1.6861,1.1656,-0.77286,0.56999,-0.35257,0.16897,-0.0070977,one
1,-1.6566,1.1607,-0.81328,0.64052,-0.47746,0.26783,-0.047571,one
1,-1.5547,0.78534,-0.38732,0.48134,-0.57561,0.39624,-0.13922,one
1,-1.6804,1.3737,-0.91043,0.47687,-0.48553,0.49177,-0.25382,one
1,-2.6822,2.4672,-0.9647,0.76144,-1.3421,1.1225,-0.35747,one
1,-2.9484,3.2311,-1.8065,1.3984,-1.9231,1.5103,-0.45639,one
1,-2.9829,3.4282,-2.0357,1.0239,-0.82669,0.56919,-0.17114,one
1,-1.5486,0.76494,-0.29749,-0.0073576,-0.15804,0.64816,-0.32933,one
1,-2.1087,2.2216,-1.7367,1.0253,-0.59235,0.44502,-0.15635,one
1,-2.4381,2.3095,-1.815,1.9198,-1.0206,-0.15278,0.21947,one
1,-2.787,3.6257,-3.0473,1.8831,-1.0012,0.57194,-0.20986,one
1,-1.8295,1.0108,0.23335,-0.75789,0.56778,0.021466,-0.18751,one
1,-2.9696,3.7418,-2.9878,1.7819,-0.36934,-0.37821,0.19815,one
1,-2.9891,3.6129,-2.5838,1.2774,0.074299,-0.67986,0.29708,one
1,-2.8516,3.3818,-3.0133,3.3363,-3.0277,1.4573,-0.2673,one
1,-2.5263,2.5535,-1.392,0.20885,0.52793,-0.4189,0.074485,one
