1,2,3,4,5,6,7,8,9,10,y
-0.32841,-1.0518,-6.5528,1.5327,2.9285,-0.82745,-1.2726,0.073893,0.046184,-0.22946,three
-0.42773,-0.40145,-4.8703,0.066697,3.3484,-1.0517,-1.7516,-0.24857,-0.44929,-0.11157,three
-4.1254,0.24686,-3.9506,-0.39671,2.1518,-0.26057,-0.92301,-0.6455,-0.26879,-0.045651,three
2.2171,-0.63542,-1.366,0.96155,-0.20718,0.014518,-0.38181,-0.61723,-0.38677,-0.16407,three
2.6776,-0.29969,-2.5243,0.84692,1.1024,-0.013578,-0.34858,-0.51226,-0.58894,-0.14673,three
-4.683,0.96457,-1.4987,0.71954,0.8621,-0.73961,-1.5601,-1.0575,0.017979,-0.047299,three
-32.6203,0,0,0,0,0,0,0,0,0,three
-31.5695,0,0,0,0,0,0,0,0,0,three
-10.4493,1.1779,-1.4935,0.74829,1.1584,-1.0796,-1.3385,-0.50582,-0.167,-0.15238,three
-10.1536,1.1665,-0.16111,0.59666,0.83213,-0.19314,-1.1366,-0.91146,-0.15332,-0.082921,three
-16.1419,0.89705,-0.18808,1.0266,1.192,-0.5007,-0.81589,-0.45431,-0.42981,-0.16027,three
-15.2719,0.72116,-0.20255,1.0051,1.175,-0.41718,-0.65494,-0.41467,-0.44654,-0.14554,three
-15.4982,1.1715,0.23357,0.63004,0.69219,-0.2537,-0.62198,-0.53042,-0.55455,-0.21078,three
-14.2441,0.96213,0.70978,0.44603,0.42517,-0.025883,-0.61846,-0.45823,-0.46738,-0.21474,three
-16.0534,0.99059,-0.11552,0.87265,1.0602,-0.49522,-0.83345,-0.50846,-0.48529,-0.19926,three
4.4386,-1.7876,-2.6196,3.4011,-1.2647,-0.17207,-0.70583,-1.1626,0.23025,-0.11303,three
-17.4635,-0.017504,-0.4935,0.077151,0.40936,-0.10633,-0.18314,0.072959,0.031872,-0.017098,three
-16.0835,0.012634,-0.12915,-0.044282,0.074073,0.034514,-0.00040909,0.010197,-0.018463,-0.011517,three
-7.8954,2.3553,-0.23029,1.6861,0.93676,-2.5744,-1.9715,-0.47525,-0.73571,-0.32954,three
-8.521,1.4948,-1.3698,1.8847,0.91966,-1.5126,-2.0438,-1.3268,-0.48959,-0.31299,three
-21.29,-1.2277,-1.7783,2.767,0.24145,-1.246,-0.014861,-0.48285,-0.20948,0.022081,three
-13.2632,-1.2612,-2.1131,4.0695,0.96784,-1.6681,-0.83099,-0.64142,-0.23205,-0.13304,three
-34.6761,-0.18396,-0.058536,0.17413,-0.0078596,-0.046603,-0.046095,0.044667,-0.00029835,-0.019709,three
